Outlook,Temperature,Humidity,Windy,Play Golf
Overcast,Mild,Normal,False,Yes
Rainy,Mild,Normal,False,Yes
Sunny,Mild,Normal,True,Yes
Overcast,Cool,Normal,True,Yes
Rainy,Cool,High,False,No
Sunny,Hot,Normal,False,Yes
Overcast,Hot,High,True,Yes
Rainy,Mild,High,True,No
Sunny,Cool,High,True,No
Overcast,Mild,High,False,Yes
Rainy,Hot,Normal,True,No
Sunny,Mild,High,False,No
Overcast,Cool,High,False,Yes
Rainy,Cool,Normal,True,No
Sunny,Hot,High,True,No
Overcast,Mild,Normal,True,Yes
Rainy,Mild,Normal,True,No
Sunny,Cool,Normal,True,No
Overcast,Hot,Normal,True,Yes
Rainy,Hot,High,True,No
Sunny,Mild,High,False,No
Overcast,Cool,High,True,Yes
Rainy,Cool,High,True,No
Sunny,Hot,Normal,True,No
Overcast,Mild,High,True,Yes
Rainy,Mild,High,False,No
Sunny,Cool,High,False,No
Overcast,Hot,High,False,Yes
Rainy,Hot,Normal,False,Yes
Sunny,Mild,Normal,False,Yes
Overcast,Cool,Normal,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Mild,High,True,No
Overcast,Hot,Normal,False,Yes
Rainy,Mild,High,True,No
Sunny,Cool,Normal,False,Yes
Overcast,Mild,High,False,Yes
Rainy,Hot,High,False,Yes
Sunny,Hot,High,False,No
Overcast,Cool,High,False,Yes
Rainy,Cool,High,False,No
Sunny,Mild,High,False,No
Overcast,Mild,Normal,False,Yes
Rainy,Mild,Normal,False,Yes
Sunny,Hot,Normal,False,Yes
Overcast,Hot,High,True,Yes
Rainy,Cool,Normal,True,No
Sunny,Cool,High,True,No
Overcast,Mild,High,True,Yes
Rainy,Hot,Normal,True,No
Sunny,Mild,Normal,True,Yes
Overcast,Cool,Normal,True,Yes
Rainy,Mild,High,False,No
Sunny,Hot,High,True,No
Overcast,Hot,Normal,True,Yes
Rainy,Cool,High,True,No
Sunny,Cool,Normal,True,No
Overcast,Mild,Normal,True,Yes
Rainy,Hot,High,True,No
Sunny,Mild,High,True,No
Overcast,Cool,High,True,Yes
Rainy,Mild,Normal,True,No
Sunny,Hot,Normal,True,No
Overcast,Hot,High,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Cool,High,False,No
Overcast,Mild,High,False,Yes
Rainy,Hot,Normal,False,Yes
Sunny,Mild,Normal,False,Yes
Overcast,Cool,Normal,False,Yes
Rainy,Mild,High,False,No
Sunny,Hot,High,False,No
Overcast,Hot,Normal,False,Yes
Rainy,Cool,High,False,No
Sunny,Mild,High,False,No
Overcast,Mild,Normal,False,Yes
Rainy,Hot,High,False,No
Sunny,Cool,Normal,False,Yes
Overcast,Cool,High,False,Yes
Rainy,Mild,Normal,False,Yes
Sunny,Hot,Normal,False,Yes
Overcast,Hot,High,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Mild,High,False,No
Overcast,Mild,High,False,Yes
Rainy,Hot,Normal,True,No
Sunny,Cool,High,True,No
Overcast,Cool,Normal,True,Yes
Rainy,Mild,High,True,No
Sunny,Hot,High,True,No
Overcast,Hot,Normal,True,Yes
Rainy,Cool,High,True,No
Sunny,Mild,Normal,True,Yes
Overcast,Mild,High,True,Yes
Rainy,Hot,High,True,No
Sunny,Cool,Normal,True,No
Overcast,Cool,High,True,Yes
Rainy,Mild,Normal,True,No
Sunny,Hot,Normal,True,No
Overcast,Hot,High,True,Yes
Rainy,Cool,Normal,True,No
Sunny,Mild,High,True,No
Overcast,Mild,Normal,True,Yes
Rainy,Hot,Normal,False,Yes
Sunny,Cool,High,False,No
Overcast,Cool,Normal,False,Yes
Rainy,Mild,High,False,No
Sunny,Hot,High,False,No
Overcast,Hot,Normal,False,Yes
Rainy,Cool,High,False,No
Sunny,Mild,Normal,False,Yes
Overcast,Mild,High,False,Yes
Rainy,Hot,High,False,Yes
Sunny,Cool,Normal,False,Yes
Overcast,Cool,High,False,Yes
Rainy,Mild,Normal,False,Yes
Sunny,Hot,Normal,False,Yes
Overcast,Hot,High,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Mild,High,False,No
Overcast,Mild,Normal,False,Yes
Rainy,Hot,High,True,No
Sunny,Cool,High,True,No
Overcast,Cool,Normal,True,Yes
Rainy,Mild,High,True,No
Sunny,Hot,High,True,No
Overcast,Hot,Normal,True,Yes
Rainy,Cool,High,True,No
Sunny,Mild,Normal,True,Yes
Overcast,Mild,High,True,Yes
Rainy,Hot,Normal,True,No
Sunny,Cool,Normal,True,No
Overcast,Cool,High,True,Yes
Rainy,Mild,Normal,True,Yes
Sunny,Hot,Normal,True,No
Overcast,Hot,High,True,Yes
Rainy,Cool,Normal,True,No
Sunny,Mild,High,True,No
Overcast,Mild,Normal,True,Yes
Rainy,Hot,High,False,No
Sunny,Cool,High,False,No
Overcast,Cool,Normal,False,Yes
Rainy,Mild,High,False,No
Sunny,Hot,High,False,No
Overcast,Hot,Normal,False,Yes
Rainy,Cool,High,False,No
Sunny,Mild,Normal,False,Yes
Overcast,Mild,High,False,Yes
Rainy,Hot,Normal,False,Yes
Sunny,Cool,Normal,False,Yes
Overcast,Cool,High,False,Yes
Rainy,Mild,Normal,False,Yes
Sunny,Hot,Normal,False,Yes
Overcast,Hot,High,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Mild,High,False,No
Overcast,Mild,Normal,False,Yes
Rainy,Hot,High,True,No
Sunny,Cool,High,True,No
Overcast,Cool,Normal,True,Yes
Rainy,Mild,High,True,No
Sunny,Hot,High,True,No
Overcast,Hot,Normal,True,Yes
Rainy,Cool,High,True,No
Sunny,Mild,Normal,True,Yes
Overcast,Mild,High,True,Yes
Rainy,Hot,Normal,True,No
Sunny,Cool,Normal,True,No
Overcast,Cool,High,True,Yes
Rainy,Mild,Normal,True,No
Sunny,Hot,Normal,True,No
Overcast,Hot,High,True,Yes
Rainy,Cool,Normal,True,No
Sunny,Mild,High,True,No
Overcast,Mild,Normal,True,Yes
Rainy,Hot,High,False,No
Sunny,Cool,High,False,No
Overcast,Cool,Normal,False,Yes
Rainy,Mild,High,False,No
Sunny,Hot,High,False,No
Overcast,Hot,Normal,False,Yes
Rainy,Cool,High,False,No
Sunny,Mild,Normal,False,Yes
Overcast,Mild,High,False,Yes
Rainy,Hot,Normal,False,Yes
Sunny,Cool,Normal,False,Yes
Overcast,Cool,High,False,Yes
Rainy,Mild,Normal,False,Yes
Sunny,Hot,Normal,False,Yes
Overcast,Hot,High,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Mild,High,False,No
Overcast,Mild,Normal,False,Yes
Rainy,Hot,High,True,No
Sunny,Cool,High,True,No
Overcast,Cool,Normal,True,Yes
Rainy,Mild,High,True,No
Sunny,Hot,High,True,No
Overcast,Hot,Normal,True,Yes
Rainy,Cool,High,True,No
Sunny,Mild,Normal,True,Yes
Overcast,Mild,High,True,Yes
Rainy,Hot,Normal,True,No
Sunny,Cool,Normal,True,No
Overcast,Cool,High,True,Yes
Rainy,Mild,Normal,True,No
Sunny,Hot,Normal,True,No
Overcast,Hot,High,True,Yes
Rainy,Cool,Normal,True,No
Sunny,Mild,High,True,No
Overcast,Mild,Normal,True,Yes
Rainy,Hot,High,False,Yes
Sunny,Mild,High,False,No
Overcast,Cool,High,False,Yes
Rainy,Mild,High,False,No
Overcast,Mild,Normal,True,Yes
Sunny,Cool,Normal,False,Yes
Rainy,Cool,Normal,False,Yes
Sunny,Hot,Normal,False,Yes
